Frame,Feature_ID,X,Y,Vx,Vy
32,3,586.1655,195.09537,-8.216431,-2.9411469
33,3,569.53107,192.92662,-16.63446,-2.168747
34,3,555.3753,191.50713,-14.155762,-1.4194946
35,3,540.22894,190.22095,-15.146362,-1.2861786
36,3,524.4724,189.28072,-15.756531,-0.9402313
37,3,371.87173,235.43326,-152.60068,46.152542
38,2,491.63986,202.72797,-6.5448914,6.6934204
39,2,476.43643,204.88005,-15.20343,2.1520844
40,2,459.4475,207.07593,-16.988922,2.195877
41,2,439.99768,210.39066,-19.44983,3.3147278
42,2,418.75363,213.46436,-21.24405,3.0737
43,2,261.30267,192.12419,-157.45096,-21.340164
44,3,529.56744,169.19844,156.70511,-65.47525
45,3,507.4943,173.74689,-22.07315,4.5484467
45,4,370.645,267.8463,-2.2199707,0.34384155
46,3,477.50134,181.2716,-29.99295,7.524719
46,4,349.46564,267.31033,-21.179352,-0.5359802
47,0,302.5833,249.21544,-19.465302,-0.42434692
47,3,446.47537,186.09174,-31.02597,4.8201294
47,4,322.6087,265.19214,-26.856934,-2.1181946
48,0,275.2349,251.35461,-27.34842,2.1391754
48,2,296.91403,149.43344,35.556854,-42.95877
48,3,416.05972,190.34125,-30.41565,4.2495117
48,4,295.48932,265.85703,-27.119385,0.6648865
49,0,241.22232,250.82556,-34.012573,-0.52905273
49,1,250.26125,225.50002,-21.433578,1.6860962
49,2,265.8261,153.38918,-31.087921,3.9557343
49,3,385.63818,193.85027,-30.42154,3.509018
49,4,268.36902,266.06406,-27.1203,0.20703125
50,0,229.9567,256.7196,-11.265625,5.894043
50,1,207.0723,236.44423,-43.18895,10.944214
50,2,235.63554,157.62428,-30.190567,4.2351074
50,3,353.30826,195.87645,-32.329926,2.026184
50,4,240.34018,265.8143,-28.02884,-0.24975586
51,0,201.0512,255.9413,-28.905502,-0.77830505
51,1,201.45503,235.93076,-5.617264,-0.5134735
51,2,207.25438,161.83011,-28.381165,4.205826
51,3,323.83353,198.14136,-29.474731,2.2649078
51,4,213.93648,266.73535,-26.403702,0.921051
52,0,71.33601,377.67505,-129.71518,121.73375
52,1,175.99783,240.81367,-25.4572,4.8829193
52,2,178.81262,166.62999,-28.441757,4.799881
52,3,292.6127,201.17342,-31.220825,3.0320587
52,4,186.44835,264.22464,-27.488129,-2.5107117
53,1,154.7216,244.79897,-21.27623,3.9852905
53,2,153.1765,171.47476,-25.636124,4.8447723
53,3,260.72644,204.4819,-31.886261,3.308487
53,4,158.33334,267.8933,-28.115005,3.6686707
54,1,130.71121,250.9575,-24.010391,6.158539
54,2,126.86425,177.20584,-26.312248,5.731079
54,3,229.75551,208.89569,-30.970932,4.413788
54,4,77.32027,241.2976,-81.01308,-26.595703
55,1,106.98925,257.22,-23.721962,6.262497
55,2,102.74949,183.10603,-24.114761,5.9001923
55,3,197.83858,214.16107,-31.916931,5.265381
56,1,45.40225,183.93,-57.34724,0.82395935
56,2,181.95798,195.9781,-15.8806,-18.182968
56,3,40.78268,274.34103,-36.48466,32.811783
57,1,68.15759,171.18033,22.755344,-12.749664
57,2,156.45929,201.17892,-25.498688,5.200821
57,3,32.20769,273.72522,-8.574989,-0.6158142
58,1,45.27301,176.3862,-22.884583,5.2058716
58,2,131.55887,206.46161,-24.900421,5.2826843
58,3,15.279321,273.10965,-16.928371,-0.61557007
59,1,24.089207,182.65433,-21.183804,6.2681274
59,2,110.71275,211.04282,-20.846115,4.5812073
60,1,5.2224836,187.20642,-18.866722,4.5520935
60,2,90.34914,215.20644,-20.363617,4.16362
61,1,70.71576,218.88826,-19.633377,3.6818237
62,0,66.95805,378.6803,-4.1558914,1.0090332
62,1,51.70234,223.19641,-19.01342,4.3081512
63,0,60.364227,380.31714,-6.5938263,1.6368408
63,1,33.341812,226.23778,-18.360527,3.0413666
64,0,53.423637,381.83466,-6.94059,1.5175171
64,1,15.650006,228.71234,-17.691807,2.4745636
65,0,51.0044,382.44788,-2.419239,0.6132202
65,1,0.7703166,226.7215,-14.87969,-1.9908447
66,0,55.80781,381.2426,4.8034134,-1.2052612
67,0,60.25969,380.1954,4.4518776,-1.0472107
68,0,64.08181,379.23483,3.8221207,-0.9605713
69,0,70.03894,377.70798,5.9571304,-1.5268555
81,0,61.380325,379.9548,-4.412857,1.1239319
83,0,65.37538,379.12125,3.6139107,-0.57754517
84,0,70.44124,378.1428,5.065857,-0.9784546
85,0,72.98677,377.2839,2.5455322,-0.8588867
86,0,85.08706,372.65396,12.100288,-4.629944
87,0,87.159454,371.96988,2.0723953,-0.68408203
